,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N5,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N6,N60,N61,N62,N63,N64,N65,N66,N67,N68,N69,N7,N70,N71,N72,N73,N74,N75,N76,N77,N78,N79,N8,N80,N81,N82,N83,N84,N85,N86,N87,N9
N68,3.48,3.837,3.705,3.5709999999999997,3.428,3.1310000000000002,3.8120000000000003,0.46299999999999997,5.095000000000001,3.8359999999999994,3.424,3.599,2.186,2.985,3.6679999999999997,3.371,6.549,3.3980000000000006,3.869,5.7170000000000005,5.458,3.304,1.082,3.085,3.44,4.283,3.6940000000000004,3.149,4.471,2.028,4.597,3.633,3.887,3.844,3.086,2.961,1.085,3.6990000000000003,0.997,2.917,3.485,3.2449999999999997,3.36,1.369,3.759,2.119,3.578,0.611,3.523,0.983,3.605,5.393000000000001,3.164,1.576,6.123,7.713000000000001,3.14,5.183,2.977,3.8009999999999997,4.615,2.238,3.515,3.565,0,3.661,5.4799999999999995,3.7459999999999996,3.7760000000000002,1.431,0.036,3.744,2.414,1.748,3.661,1.733,3.755,3.6060000000000003,3.894,4.014,3.9,0.744,3.0,2.025,3.906,3.6639999999999997,3.2790000000000004
N69,0.182,0.176,0.75,0.259,0.233,1.349,0.837,3.817,1.7149999999999999,0.33199999999999996,0.238,0.133,1.475,0.676,0.356,0.29000000000000004,3.1689999999999996,1.292,0.211,2.3970000000000002,2.656,0.389,3.2550000000000003,0.5760000000000001,0.39,0.903,0.038,0.544,1.091,2.042,1.217,0.471,0.7140000000000001,0.348,1.3860000000000001,1.5110000000000001,3.2580000000000005,0.319,3.1700000000000004,1.8210000000000002,1.1219999999999999,2.149,0.997,2.2920000000000003,0.268,2.161,0.085,3.9420000000000006,0.14300000000000002,4.314000000000001,0.675,2.013,1.116,2.704,2.818,4.333,0.521,1.803,2.606,2.705,1.2349999999999999,2.234,0.14600000000000002,0.096,3.6610000000000005,0,2.1,0.242,0.12,2.642,3.6970000000000005,0.083,2.3179999999999996,1.943,0.168,1.9280000000000002,0.262,0.226,0.7210000000000001,0.523,0.7010000000000001,2.9170000000000003,1.28,4.735,0.7160000000000001,0.166,1.201
N7,2.1119999999999997,1.9279999999999997,2.007,2.350999999999999,2.1639999999999997,2.6060000000000003,1.9,5.2490000000000006,1.139,2.0859999999999994,2.0559999999999996,2.231,3.2939999999999996,2.4949999999999997,2.447999999999999,2.1089999999999995,1.9969999999999999,2.355,1.9629999999999996,0.297,0.556,2.32,5.074,2.3949999999999996,2.456,1.1969999999999998,2.1359999999999997,2.3799999999999994,1.009,3.8609999999999998,0.885,2.5629999999999993,2.8059999999999987,2.281999999999999,2.818,2.943,5.077,1.7809999999999997,4.989,3.097,2.9949999999999997,2.769,2.8699999999999997,4.111,2.359999999999999,3.593,2.0149999999999997,5.761,1.9569999999999996,6.133,2.107,0.841,2.548,4.136,0.718,3.7569999999999997,2.3399999999999994,0.297,3.226,2.213,0.865,3.666,2.2459999999999996,2.1959999999999997,5.4799999999999995,2.0999999999999996,0,2.1759999999999993,2.054,4.460999999999999,5.515999999999999,2.017,4.191,3.7619999999999996,1.9319999999999997,3.7469999999999994,1.8379999999999996,1.8739999999999997,2.812999999999999,2.614999999999999,2.792999999999999,4.736,2.712,6.554,2.807999999999999,2.257999999999999,2.458
N70,0.42399999999999993,0.248,0.8260000000000001,0.175,0.4700000000000001,1.425,0.913,4.059,1.7909999999999997,0.09,0.4799999999999999,0.29900000000000004,1.56,0.761,0.272,0.5270000000000001,3.244999999999999,1.368,0.213,2.473,2.7319999999999998,0.442,3.34,0.661,0.306,0.9789999999999999,0.20400000000000001,0.597,1.1669999999999998,2.127,1.2929999999999997,0.387,0.63,0.106,1.6280000000000001,1.7530000000000001,3.343,0.39499999999999996,3.255,2.063,1.038,2.391,0.913,2.377,0.184,2.403,0.327,4.027,0.385,4.399,0.917,2.0889999999999995,1.358,2.946,2.8939999999999997,4.409,0.637,1.8789999999999996,2.848,2.947,1.3109999999999997,2.3369999999999997,0.38300000000000006,0.33799999999999997,3.7459999999999996,0.242,2.1759999999999997,0,0.122,2.727,3.7819999999999996,0.159,2.234,2.028,0.244,2.013,0.33799999999999997,0.302,0.637,0.439,0.617,3.002,1.522,4.82,0.632,0.082,1.2770000000000001
N71,0.302,0.128,0.704,0.29700000000000004,0.348,1.303,0.791,3.937,1.6689999999999998,0.212,0.358,0.177,1.59,0.791,0.394,0.40499999999999997,3.1229999999999998,1.246,0.093,2.351,2.61,0.504,3.37,0.6910000000000001,0.42800000000000005,0.857,0.082,0.659,1.045,2.157,1.1709999999999998,0.509,0.7519999999999999,0.22799999999999998,1.506,1.631,3.373,0.273,3.285,1.9409999999999998,1.1600000000000001,2.2689999999999997,1.0350000000000001,2.407,0.306,2.2809999999999997,0.20500000000000002,4.057,0.263,4.429,0.795,1.9669999999999999,1.236,2.824,2.772,4.287,0.636,1.7569999999999997,2.7259999999999995,2.8249999999999997,1.1889999999999998,2.354,0.261,0.216,3.776,0.12,2.054,0.122,0,2.757,3.812,0.037,2.356,2.0580000000000003,0.122,2.043,0.216,0.18,0.7589999999999999,0.5609999999999999,0.7389999999999999,3.032,1.4,4.85,0.7539999999999999,0.20400000000000001,1.155
N72,2.4610000000000003,2.8180000000000005,3.1110000000000007,2.5520000000000005,2.4090000000000003,3.2360000000000007,3.1980000000000004,1.8940000000000001,4.0760000000000005,2.817,2.4050000000000002,2.5800000000000005,1.167,1.9660000000000002,2.6490000000000005,2.3520000000000003,5.53,3.2960000000000003,2.8500000000000005,4.758,5.017,2.285,1.0250000000000001,2.0660000000000003,2.4210000000000003,3.2640000000000007,2.6750000000000007,2.1300000000000003,3.452000000000001,1.734,3.5780000000000007,2.6140000000000003,2.8680000000000003,2.8250000000000006,2.792,2.667,1.028,2.6800000000000006,0.9400000000000001,3.6460000000000004,2.466,3.974,2.341,1.0779999999999998,2.7400000000000007,2.224,2.559,1.7120000000000002,2.5040000000000004,2.084,3.0360000000000005,4.3740000000000006,3.062,2.7670000000000003,5.179,6.694000000000001,2.1210000000000004,4.164000000000001,4.4079999999999995,4.53,3.596000000000001,1.944,2.4960000000000004,2.5460000000000003,1.431,2.6420000000000003,4.461,2.7270000000000003,2.7570000000000006,0,1.467,2.7250000000000005,1.365,0.699,2.6420000000000003,0.714,2.736,2.5870000000000006,2.8750000000000004,2.9950000000000006,2.8810000000000002,0.687,3.1050000000000004,2.505,2.8870000000000005,2.6450000000000005,3.177
N73,3.516,3.873,3.6690000000000005,3.607,3.464,3.0950000000000006,3.7760000000000007,0.427,5.131,3.872,3.46,3.6350000000000002,2.222,3.021,3.704,3.407,6.585,3.362000000000001,3.9050000000000002,5.681000000000001,5.422000000000001,3.34,1.1179999999999999,3.121,3.476,4.319,3.7300000000000004,3.185,4.507,2.064,4.633,3.669,3.923,3.8800000000000003,3.122,2.997,1.121,3.7350000000000003,1.033,2.8810000000000002,3.521,3.209,3.396,1.405,3.7950000000000004,2.083,3.614,0.647,3.559,1.0190000000000001,3.5690000000000004,5.429,3.1280000000000006,1.54,6.087000000000001,7.7490000000000006,3.176,5.218999999999999,2.941,3.765,4.651,2.274,3.551,3.601,0.036,3.697,5.515999999999999,3.782,3.8120000000000003,1.467,0,3.7800000000000002,2.45,1.784,3.697,1.7690000000000001,3.791,3.6420000000000003,3.93,4.050000000000001,3.936,0.78,2.9640000000000004,2.061,3.942,3.7,3.2430000000000008
N74,0.265,0.093,0.667,0.33399999999999996,0.31599999999999995,1.266,0.754,3.9,1.632,0.249,0.321,0.214,1.558,0.759,0.43099999999999994,0.37299999999999994,3.086,1.209,0.128,2.314,2.573,0.472,3.338,0.659,0.46499999999999997,0.82,0.119,0.627,1.008,2.125,1.134,0.5459999999999999,0.789,0.265,1.469,1.594,3.341,0.236,3.253,1.904,1.197,2.2319999999999998,1.072,2.375,0.34299999999999997,2.2439999999999998,0.168,4.025,0.226,4.397,0.758,1.93,1.199,2.787,2.735,4.25,0.604,1.7199999999999998,2.6889999999999996,2.788,1.152,2.317,0.22899999999999998,0.179,3.7439999999999998,0.083,2.017,0.159,0.037,2.725,3.78,0,2.393,2.0260000000000002,0.085,2.011,0.179,0.14300000000000002,0.796,0.598,0.776,3.0,1.363,4.818,0.791,0.241,1.118
N75,2.191,2.482,2.841,2.059,2.139,3.2030000000000003,2.928,2.877,3.8060000000000005,2.324,2.135,2.1910000000000003,1.1340000000000001,1.696,1.962,2.082,5.26,3.263,2.447,4.488,4.747000000000001,2.015,2.008,1.796,2.04,2.994,2.2800000000000002,1.86,3.1820000000000004,1.701,3.3080000000000003,1.847,1.837,2.138,2.759,2.634,2.011,2.41,1.923,3.613,1.196,3.941,1.321,1.045,2.053,2.191,2.2889999999999997,2.6950000000000003,2.234,3.067,2.766,4.104,3.029,2.734,4.909000000000001,6.424,1.851,3.8940000000000006,4.398,4.497,3.3260000000000005,1.911,2.226,2.232,2.4139999999999997,2.318,4.191000000000001,2.234,2.356,1.365,2.4499999999999997,2.393,0,0.666,2.372,0.681,2.4659999999999997,2.317,1.83,2.028,1.8499999999999999,1.67,3.072,3.488,1.842,2.152,3.144
N76,1.7620000000000002,2.119,2.412,1.8530000000000004,1.7100000000000002,2.537,2.499,2.211,3.3770000000000002,2.1180000000000003,1.7060000000000002,1.8810000000000002,0.468,1.2670000000000001,1.9500000000000004,1.6530000000000002,4.831,2.5970000000000004,2.1510000000000002,4.059,4.3180000000000005,1.5860000000000003,1.342,1.3670000000000002,1.7220000000000004,2.565,1.9760000000000002,1.4310000000000003,2.753,1.035,2.879,1.9150000000000005,2.1690000000000005,2.1260000000000003,2.093,1.968,1.3450000000000002,1.981,1.2570000000000001,2.9469999999999996,1.7670000000000001,3.2749999999999995,1.6420000000000001,0.379,2.0410000000000004,1.525,1.8600000000000003,2.0290000000000004,1.8050000000000002,2.4010000000000002,2.337,3.6750000000000003,2.363,2.068,4.48,5.995,1.4220000000000002,3.4650000000000003,3.7319999999999993,3.8309999999999995,2.8970000000000002,1.2449999999999999,1.7970000000000002,1.8470000000000002,1.748,1.9430000000000003,3.7620000000000005,2.0280000000000005,2.0580000000000003,0.699,1.784,2.0260000000000002,0.666,0,1.9430000000000003,0.015,2.0370000000000004,1.8880000000000001,2.1760000000000006,2.2960000000000003,2.1820000000000004,1.004,2.4059999999999997,2.822,2.1880000000000006,1.9460000000000004,2.478
N77,0.181,0.178,0.5820000000000001,0.41900000000000004,0.23299999999999998,1.181,0.669,3.815,1.547,0.33399999999999996,0.237,0.29900000000000004,1.475,0.676,0.516,0.29,3.001,1.124,0.213,2.2289999999999996,2.4879999999999995,0.389,3.2550000000000003,0.5760000000000001,0.525,0.735,0.20400000000000001,0.544,0.923,2.042,1.049,0.631,0.874,0.35,1.3840000000000001,1.5090000000000001,3.2580000000000005,0.151,3.1700000000000004,1.819,1.1760000000000002,2.147,1.0510000000000002,2.2920000000000003,0.428,2.159,0.083,3.9420000000000006,0.14100000000000001,4.314000000000001,0.673,1.845,1.114,2.702,2.6499999999999995,4.165,0.521,1.6349999999999998,2.6039999999999996,2.703,1.067,2.232,0.314,0.264,3.6610000000000005,0.168,1.9319999999999997,0.244,0.122,2.642,3.6970000000000005,0.085,2.372,1.943,0,1.9280000000000002,0.094,0.058,0.881,0.683,0.861,2.9170000000000003,1.278,4.735,0.876,0.326,1.0330000000000001
N78,1.747,2.104,2.3970000000000002,1.8380000000000003,1.695,2.5220000000000002,2.484,2.196,3.362,2.103,1.691,1.866,0.453,1.252,1.9350000000000003,1.6380000000000001,4.816,2.582,2.136,4.0440000000000005,4.303000000000001,1.5710000000000002,1.327,1.352,1.7070000000000003,2.55,1.961,1.4160000000000001,2.738,1.02,2.864,1.9000000000000004,2.1540000000000004,2.111,2.078,1.9529999999999998,1.33,1.966,1.242,2.932,1.752,3.26,1.627,0.364,2.0260000000000002,1.51,1.8450000000000002,2.0140000000000002,1.79,2.386,2.322,3.66,2.348,2.053,4.465,5.98,1.407,3.45,3.7169999999999996,3.816,2.882,1.23,1.782,1.832,1.733,1.9280000000000002,3.7470000000000003,2.0130000000000003,2.043,0.714,1.7690000000000001,2.011,0.681,0.015,1.9280000000000002,0,2.0220000000000002,1.873,2.1610000000000005,2.281,2.1670000000000003,0.989,2.391,2.807,2.1730000000000005,1.9310000000000003,2.463
N79,0.275,0.09,0.674,0.513,0.327,1.273,0.5750000000000001,3.907,1.4529999999999998,0.248,0.331,0.393,1.569,0.77,0.61,0.384,2.907,1.03,0.125,2.135,2.3939999999999997,0.483,3.3489999999999998,0.67,0.619,0.641,0.298,0.638,0.829,2.136,0.955,0.725,0.9680000000000001,0.44399999999999995,1.476,1.601,3.352,0.057,3.264,1.911,1.27,2.239,1.145,2.3859999999999997,0.522,2.251,0.177,4.036,0.23299999999999998,4.4079999999999995,0.765,1.751,1.206,2.794,2.556,4.071,0.615,1.541,2.6959999999999997,2.795,0.973,2.324,0.408,0.358,3.755,0.262,1.8379999999999999,0.33799999999999997,0.216,2.7359999999999998,3.791,0.179,2.466,2.037,0.094,2.022,0,0.15,0.9750000000000001,0.777,0.9550000000000001,3.0109999999999997,1.3699999999999999,4.829,0.9700000000000001,0.42,1.125
N8,0.238,0.23600000000000002,0.524,0.4770000000000001,0.29,1.123,0.611,3.757,1.4889999999999999,0.392,0.182,0.357,1.42,0.621,0.5740000000000001,0.235,2.9429999999999996,1.066,0.271,2.171,2.4299999999999997,0.44599999999999995,3.2,0.521,0.582,0.6769999999999999,0.262,0.506,0.865,1.9869999999999999,0.991,0.6890000000000001,0.932,0.40800000000000003,1.326,1.451,3.2030000000000003,0.093,3.115,1.7610000000000001,1.121,2.089,0.996,2.237,0.48600000000000004,2.101,0.14100000000000001,3.8870000000000005,0.083,4.259,0.615,1.787,1.056,2.644,2.5919999999999996,4.106999999999999,0.46599999999999997,1.577,2.546,2.645,1.009,2.174,0.37200000000000005,0.32200000000000006,3.606,0.22600000000000003,1.8739999999999999,0.30200000000000005,0.18000000000000002,2.5869999999999997,3.642,0.14300000000000002,2.317,1.888,0.058,1.873,0.15,0,0.9390000000000001,0.7410000000000001,0.919,2.862,1.22,4.68,0.934,0.38400000000000006,0.9750000000000001
N80,0.732,0.8849999999999999,1.463,0.473,0.7460000000000001,2.0620000000000003,1.5499999999999998,4.357,2.4279999999999995,0.7269999999999999,0.788,0.605,1.7080000000000002,0.9090000000000001,0.376,0.8030000000000002,3.8819999999999997,2.005,0.8499999999999999,3.11,3.3689999999999998,0.5900000000000001,3.488,0.8090000000000002,0.454,1.6159999999999997,0.6829999999999999,0.7450000000000001,1.8039999999999996,2.2750000000000004,1.9299999999999997,0.261,0.007,0.5379999999999999,2.107,2.232,3.491,1.0319999999999998,3.403,2.542,0.634,2.8699999999999997,0.759,2.525,0.45299999999999996,2.7650000000000006,0.8059999999999999,4.175,0.864,4.547,1.396,2.7259999999999995,1.837,3.3080000000000007,3.5309999999999997,5.045999999999999,0.7850000000000001,2.5159999999999996,3.3269999999999995,3.4259999999999997,1.9479999999999995,2.4850000000000003,0.689,0.646,3.894,0.721,2.8129999999999997,0.6369999999999999,0.7589999999999999,2.875,3.93,0.7959999999999999,1.83,2.176,0.8809999999999999,2.161,0.9749999999999999,0.939,0,0.19799999999999998,0.02,3.15,2.001,4.968,0.012,0.5549999999999999,1.9140000000000001
N81,0.702,0.687,1.2650000000000001,0.44299999999999995,0.7459999999999999,1.864,1.3519999999999999,4.34,2.2299999999999995,0.529,0.758,0.575,1.8280000000000003,1.0290000000000001,0.346,0.8029999999999999,3.6839999999999993,1.807,0.652,2.912,3.171,0.71,3.608,0.929,0.574,1.418,0.485,0.865,1.6059999999999999,2.3950000000000005,1.7319999999999998,0.445,0.191,0.34,1.909,2.034,3.611,0.834,3.523,2.344,0.8320000000000001,2.6719999999999997,0.9570000000000001,2.645,0.255,2.684,0.608,4.295,0.666,4.667,1.198,2.5279999999999996,1.639,3.2270000000000003,3.3329999999999997,4.847999999999999,0.905,2.3179999999999996,3.1289999999999996,3.2279999999999998,1.7499999999999998,2.6050000000000004,0.6589999999999999,0.616,4.014,0.523,2.6149999999999998,0.439,0.5609999999999999,2.995,4.05,0.598,2.028,2.2960000000000003,0.6829999999999999,2.281,0.7769999999999999,0.741,0.198,0,0.178,3.27,1.803,5.088,0.193,0.357,1.7160000000000002
N82,0.738,0.865,1.443,0.479,0.7520000000000001,2.0420000000000003,1.53,4.363,2.408,0.707,0.794,0.611,1.7140000000000002,0.9150000000000001,0.382,0.8090000000000002,3.862,1.985,0.83,3.0900000000000003,3.349,0.5960000000000001,3.494,0.8150000000000002,0.46,1.596,0.663,0.7510000000000001,1.784,2.281,1.9100000000000001,0.267,0.013,0.518,2.087,2.212,3.4970000000000003,1.012,3.4090000000000003,2.5220000000000002,0.654,2.85,0.779,2.531,0.433,2.771,0.786,4.181,0.8440000000000001,4.553,1.3760000000000001,2.706,1.8170000000000002,3.314,3.511,5.026,0.7910000000000001,2.496,3.307,3.406,1.928,2.491,0.695,0.652,3.9000000000000004,0.7010000000000001,2.793,0.617,0.739,2.8810000000000002,3.9360000000000004,0.776,1.85,2.1820000000000004,0.861,2.1670000000000003,0.955,0.919,0.02,0.178,0,3.156,1.981,4.974,0.015,0.535,1.8940000000000001
N83,2.736,3.0930000000000004,3.153,2.827,2.684,2.7860000000000005,3.2600000000000002,1.207,4.351000000000001,3.0919999999999996,2.68,2.8550000000000004,1.442,2.241,2.924,2.6270000000000002,5.805000000000001,2.846,3.1250000000000004,5.033,5.292000000000001,2.56,0.338,2.341,2.696,3.5390000000000006,2.9500000000000006,2.4050000000000002,3.7270000000000008,1.284,3.8530000000000006,2.8890000000000002,3.1430000000000002,3.1,2.342,2.217,0.34099999999999997,2.9550000000000005,0.253,3.196,2.741,3.524,2.616,0.625,3.015,1.774,2.834,1.025,2.7790000000000004,1.3969999999999998,3.053,4.649000000000001,2.612,2.317,5.454000000000001,6.969000000000001,2.3960000000000004,4.439000000000001,3.721,4.08,3.871000000000001,1.494,2.7710000000000004,2.821,0.744,2.9170000000000003,4.736000000000001,3.002,3.0320000000000005,0.687,0.78,3.0000000000000004,1.67,1.004,2.9170000000000003,0.989,3.011,2.8620000000000005,3.1500000000000004,3.27,3.156,0,2.6550000000000002,1.818,3.1620000000000004,2.92,2.7270000000000003
N84,1.292,1.456,0.705,1.5390000000000001,1.344,0.131,0.8119999999999999,2.537,2.327,1.6119999999999999,1.236,1.413,1.938,1.675,1.6360000000000001,1.289,3.7809999999999997,0.398,1.4909999999999999,3.009,3.082,1.5,2.9930000000000003,1.575,1.6360000000000001,1.515,1.318,1.56,1.7029999999999998,1.371,1.8289999999999997,1.7510000000000001,1.9940000000000002,1.628,0.43400000000000005,0.559,2.9960000000000004,1.313,2.9080000000000004,0.541,2.175,0.869,2.05,2.0300000000000002,1.5480000000000003,0.881,1.195,3.6109999999999998,1.137,3.9829999999999997,0.605,2.625,0.164,1.424,3.4299999999999997,4.945,1.52,2.4149999999999996,1.326,1.425,1.8469999999999998,1.161,1.4260000000000002,1.3760000000000001,3.0,1.28,2.7119999999999997,1.5219999999999998,1.4,3.105,2.964,1.363,3.072,2.406,1.278,2.391,1.3699999999999999,1.22,2.0010000000000003,1.8030000000000004,1.9810000000000003,2.6550000000000002,0,4.473000000000001,1.9960000000000002,1.4460000000000002,0.279
N85,4.553999999999999,4.911,4.970999999999999,4.6450000000000005,4.502,4.604000000000001,5.077999999999999,2.4880000000000004,6.168999999999999,4.91,4.497999999999999,4.672999999999999,3.26,4.059,4.742000000000001,4.444999999999999,7.622999999999998,4.664,4.942999999999999,6.850999999999998,7.1099999999999985,4.378,1.48,4.159,4.514,5.356999999999999,4.767999999999999,4.223,5.544999999999999,3.1020000000000003,5.670999999999999,4.707,4.961,4.918000000000001,4.16,4.035,1.505,4.773,1.565,4.942,4.559,5.2700000000000005,4.434,2.443,4.833000000000001,3.5920000000000005,4.651999999999999,1.4140000000000001,4.5969999999999995,1.042,4.8709999999999996,6.466999999999999,4.43,3.6010000000000004,7.2719999999999985,8.786999999999999,4.2139999999999995,6.256999999999999,5.002000000000001,5.8260000000000005,5.688999999999999,3.3120000000000003,4.5889999999999995,4.638999999999999,2.0250000000000004,4.734999999999999,6.5539999999999985,4.82,4.849999999999999,2.505,2.0610000000000004,4.818,3.488,2.822,4.734999999999999,2.807,4.829,4.68,4.968,5.088000000000001,4.974,1.818,4.473000000000001,0,4.9799999999999995,4.738,4.545
N86,0.744,0.88,1.4580000000000002,0.485,0.7580000000000001,2.0570000000000004,1.545,4.369,2.4229999999999996,0.722,0.8,0.617,1.7200000000000002,0.9210000000000002,0.388,0.8150000000000002,3.877,2.0,0.845,3.105,3.364,0.6020000000000001,3.5,0.8210000000000002,0.466,1.6109999999999998,0.678,0.7570000000000001,1.7989999999999997,2.287,1.9249999999999998,0.273,0.019,0.533,2.1020000000000003,2.2270000000000003,3.503,1.027,3.415,2.537,0.646,2.8649999999999998,0.771,2.537,0.448,2.777,0.801,4.187,0.8590000000000001,4.559,1.391,2.7209999999999996,1.832,3.3200000000000003,3.526,5.0409999999999995,0.7970000000000002,2.5109999999999997,3.3219999999999996,3.421,1.9429999999999996,2.497,0.701,0.658,3.9059999999999997,0.7160000000000001,2.808,0.632,0.754,2.887,3.9419999999999997,0.791,1.842,2.188,0.876,2.173,0.97,0.934,0.012,0.193,0.015,3.162,1.996,4.98,0,0.55,1.9090000000000003
N87,0.348,0.32999999999999996,0.908,0.093,0.394,1.507,0.9949999999999999,3.983,1.8729999999999998,0.172,0.40399999999999997,0.223,1.478,0.6789999999999999,0.19,0.451,3.327,1.45,0.295,2.555,2.814,0.36,3.258,0.579,0.224,1.061,0.128,0.515,1.2489999999999999,2.045,1.375,0.305,0.5479999999999999,0.187,1.552,1.677,3.261,0.4769999999999999,3.173,1.987,0.956,2.315,0.831,2.295,0.102,2.327,0.251,3.9450000000000003,0.309,4.317,0.841,2.171,1.282,2.87,2.976,4.491,0.555,1.9609999999999999,2.772,2.871,1.3929999999999998,2.255,0.307,0.262,3.6639999999999997,0.166,2.258,0.082,0.20400000000000001,2.645,3.6999999999999997,0.24100000000000002,2.152,1.946,0.326,1.931,0.41999999999999993,0.384,0.5549999999999999,0.357,0.5349999999999999,2.92,1.446,4.7379999999999995,0.5499999999999999,0,1.359
N9,1.213,1.211,0.451,1.4520000000000002,1.2650000000000001,0.148,0.558,2.8160000000000003,2.073,1.3670000000000002,1.157,1.332,2.01,1.596,1.5490000000000002,1.21,3.527,0.119,1.246,2.7550000000000003,3.0140000000000002,1.421,3.0650000000000004,1.496,1.557,1.2610000000000001,1.237,1.481,1.449,1.443,1.5750000000000002,1.6640000000000001,1.907,1.3830000000000002,0.385,0.51,3.0680000000000005,1.068,2.9800000000000004,0.8200000000000001,2.096,1.1480000000000001,1.971,2.1020000000000003,1.4610000000000003,1.1600000000000001,1.116,3.7520000000000007,1.058,4.1240000000000006,0.551,2.371,0.115,1.7030000000000003,3.176,4.691,1.441,2.161,1.6050000000000002,1.7040000000000002,1.593,1.233,1.3470000000000002,1.2970000000000002,3.2790000000000004,1.201,2.458,1.2770000000000001,1.155,3.1769999999999996,3.2430000000000003,1.118,3.1439999999999997,2.4779999999999998,1.0330000000000001,2.4629999999999996,1.125,0.9750000000000001,1.914,1.7160000000000002,1.8940000000000001,2.7270000000000003,0.279,4.545,1.909,1.3590000000000002,0
